Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,0.5,1,0,0,0,0.49084,0.58314,1,-1,0.49084,0.58314
0.01,0.5,1,0,1,0,0.49084,0.58314,1,-1,0.49084,0.57314
0.01,0.5,1,1,0,0,0.49084,0.57314,1,-1,0.48084,0.57314
0.01,0.5,1,1,1,1,0.48084,0.57314,1,0,0.48084,0.57314
0.01,0.5,2,0,0,0,0.48084,0.57314,1,-1,0.48084,0.57314
0.01,0.5,2,0,1,0,0.48084,0.57314,1,-1,0.48084,0.56314
0.01,0.5,2,1,0,0,0.48084,0.56314,1,-1,0.47084,0.56314
0.01,0.5,2,1,1,1,0.47084,0.56314,1,0,0.47084,0.56314
0.01,0.5,3,0,0,0,0.47084,0.56314,1,-1,0.47084,0.56314
0.01,0.5,3,0,1,0,0.47084,0.56314,1,-1,0.47084,0.55314
0.01,0.5,3,1,0,0,0.47084,0.55314,1,-1,0.46084,0.55314
0.01,0.5,3,1,1,1,0.46084,0.55314,1,0,0.46084,0.55314
0.01,0.5,4,0,0,0,0.46084,0.55314,1,-1,0.46084,0.55314
0.01,0.5,4,0,1,0,0.46084,0.55314,1,-1,0.46084,0.54314
0.01,0.5,4,1,0,0,0.46084,0.54314,1,-1,0.45084,0.54314
0.01,0.5,4,1,1,1,0.45084,0.54314,1,0,0.45084,0.54314
0.01,0.5,5,0,0,0,0.45084,0.54314,1,-1,0.45084,0.54314
0.01,0.5,5,0,1,0,0.45084,0.54314,1,-1,0.45084,0.53314
0.01,0.5,5,1,0,0,0.45084,0.53314,1,-1,0.44084,0.53314
0.01,0.5,5,1,1,1,0.44084,0.53314,1,0,0.44084,0.53314
0.01,0.5,6,0,0,0,0.44084,0.53314,1,-1,0.44084,0.53314
0.01,0.5,6,0,1,0,0.44084,0.53314,1,-1,0.44084,0.52314
0.01,0.5,6,1,0,0,0.44084,0.52314,1,-1,0.43084,0.52314
0.01,0.5,6,1,1,1,0.43084,0.52314,1,0,0.43084,0.52314
0.01,0.5,7,0,0,0,0.43084,0.52314,1,-1,0.43084,0.52314
0.01,0.5,7,0,1,0,0.43084,0.52314,1,-1,0.43084,0.51314
0.01,0.5,7,1,0,0,0.43084,0.51314,1,-1,0.42084,0.51314
0.01,0.5,7,1,1,1,0.42084,0.51314,1,0,0.42084,0.51314
0.01,0.5,8,0,0,0,0.42084,0.51314,1,-1,0.42084,0.51314
0.01,0.5,8,0,1,0,0.42084,0.51314,1,-1,0.42084,0.50314
0.01,0.5,8,1,0,0,0.42084,0.50314,1,-1,0.41084,0.50314
0.01,0.5,8,1,1,1,0.41084,0.50314,1,0,0.41084,0.50314
0.01,0.5,9,0,0,0,0.41084,0.50314,1,-1,0.41084,0.50314
0.01,0.5,9,0,1,0,0.41084,0.50314,1,-1,0.41084,0.49314
0.01,0.5,9,1,0,0,0.41084,0.49314,1,-1,0.40084,0.49314
0.01,0.5,9,1,1,1,0.40084,0.49314,1,0,0.40084,0.49314
0.01,0.5,10,0,0,0,0.40084,0.49314,1,-1,0.40084,0.49314
0.01,0.5,10,0,1,0,0.40084,0.49314,1,-1,0.40084,0.48314
0.01,0.5,10,1,0,0,0.40084,0.48314,1,-1,0.39084,0.48314
0.01,0.5,10,1,1,1,0.39084,0.48314,1,0,0.39084,0.48314
0.01,0.5,11,0,0,0,0.39084,0.48314,1,-1,0.39084,0.48314
0.01,0.5,11,0,1,0,0.39084,0.48314,1,-1,0.39084,0.47314
0.01,0.5,11,1,0,0,0.39084,0.47314,1,-1,0.38084,0.47314
0.01,0.5,11,1,1,1,0.38084,0.47314,1,0,0.38084,0.47314
0.01,0.5,12,0,0,0,0.38084,0.47314,1,-1,0.38084,0.47314
0.01,0.5,12,0,1,0,0.38084,0.47314,1,-1,0.38084,0.46314
0.01,0.5,12,1,0,0,0.38084,0.46314,1,-1,0.37084,0.46314
0.01,0.5,12,1,1,1,0.37084,0.46314,1,0,0.37084,0.46314
0.01,0.5,13,0,0,0,0.37084,0.46314,1,-1,0.37084,0.46314
0.01,0.5,13,0,1,0,0.37084,0.46314,1,-1,0.37084,0.45314
0.01,0.5,13,1,0,0,0.37084,0.45314,1,-1,0.36084,0.45314
0.01,0.5,13,1,1,1,0.36084,0.45314,1,0,0.36084,0.45314
0.01,0.5,14,0,0,0,0.36084,0.45314,1,-1,0.36084,0.45314
0.01,0.5,14,0,1,0,0.36084,0.45314,1,-1,0.36084,0.44314
0.01,0.5,14,1,0,0,0.36084,0.44314,1,-1,0.35084,0.44314
0.01,0.5,14,1,1,1,0.35084,0.44314,1,0,0.35084,0.44314
0.01,0.5,15,0,0,0,0.35084,0.44314,1,-1,0.35084,0.44314
0.01,0.5,15,0,1,0,0.35084,0.44314,1,-1,0.35084,0.43314
0.01,0.5,15,1,0,0,0.35084,0.43314,1,-1,0.34084,0.43314
0.01,0.5,15,1,1,1,0.34084,0.43314,1,0,0.34084,0.43314
0.01,0.5,16,0,0,0,0.34084,0.43314,1,-1,0.34084,0.43314
0.01,0.5,16,0,1,0,0.34084,0.43314,1,-1,0.34084,0.42314
0.01,0.5,16,1,0,0,0.34084,0.42314,1,-1,0.33084,0.42314
0.01,0.5,16,1,1,1,0.33084,0.42314,1,0,0.33084,0.42314
0.01,0.5,17,0,0,0,0.33084,0.42314,1,-1,0.33084,0.42314
0.01,0.5,17,0,1,0,0.33084,0.42314,1,-1,0.33084,0.41314
0.01,0.5,17,1,0,0,0.33084,0.41314,1,-1,0.32084,0.41314
0.01,0.5,17,1,1,1,0.32084,0.41314,1,0,0.32084,0.41314
0.01,0.5,18,0,0,0,0.32084,0.41314,0,0,0.32084,0.41314
0.01,0.5,18,0,1,0,0.32084,0.41314,1,-1,0.32084,0.40314
0.01,0.5,18,1,0,0,0.32084,0.40314,1,-1,0.31084,0.40314
0.01,0.5,18,1,1,1,0.31084,0.40314,1,0,0.31084,0.40314
0.01,0.5,19,0,0,0,0.31084,0.40314,0,0,0.31084,0.40314
0.01,0.5,19,0,1,0,0.31084,0.40314,1,-1,0.31084,0.39314
0.01,0.5,19,1,0,0,0.31084,0.39314,1,-1,0.30084,0.39314
0.01,0.5,19,1,1,1,0.30084,0.39314,1,0,0.30084,0.39314
0.01,0.5,20,0,0,0,0.30084,0.39314,0,0,0.30084,0.39314
0.01,0.5,20,0,1,0,0.30084,0.39314,1,-1,0.30084,0.38314
0.01,0.5,20,1,0,0,0.30084,0.38314,1,-1,0.29084,0.38314
0.01,0.5,20,1,1,1,0.29084,0.38314,1,0,0.29084,0.38314
0.01,0.5,21,0,0,0,0.29084,0.38314,0,0,0.29084,0.38314
0.01,0.5,21,0,1,0,0.29084,0.38314,1,-1,0.29084,0.37314
0.01,0.5,21,1,0,0,0.29084,0.37314,1,-1,0.28084,0.37314
0.01,0.5,21,1,1,1,0.28084,0.37314,1,0,0.28084,0.37314
0.01,0.5,22,0,0,0,0.28084,0.37314,0,0,0.28084,0.37314
0.01,0.5,22,0,1,0,0.28084,0.37314,1,-1,0.28084,0.36314
0.01,0.5,22,1,0,0,0.28084,0.36314,1,-1,0.27084,0.36314
0.01,0.5,22,1,1,1,0.27084,0.36314,1,0,0.27084,0.36314
0.01,0.5,23,0,0,0,0.27084,0.36314,0,0,0.27084,0.36314
0.01,0.5,23,0,1,0,0.27084,0.36314,1,-1,0.27084,0.35314
0.01,0.5,23,1,0,0,0.27084,0.35314,1,-1,0.26084,0.35314
0.01,0.5,23,1,1,1,0.26084,0.35314,1,0,0.26084,0.35314
0.01,0.5,24,0,0,0,0.26084,0.35314,0,0,0.26084,0.35314
0.01,0.5,24,0,1,0,0.26084,0.35314,1,-1,0.26084,0.34314
0.01,0.5,24,1,0,0,0.26084,0.34314,1,-1,0.25084,0.34314
0.01,0.5,24,1,1,1,0.25084,0.34314,1,0,0.25084,0.34314
0.01,0.5,25,0,0,0,0.25084,0.34314,0,0,0.25084,0.34314
0.01,0.5,25,0,1,0,0.25084,0.34314,1,-1,0.25084,0.33314
0.01,0.5,25,1,0,0,0.25084,0.33314,1,-1,0.24084,0.33314
0.01,0.5,25,1,1,1,0.24084,0.33314,1,0,0.24084,0.33314
0.01,0.5,26,0,0,0,0.24084,0.33314,0,0,0.24084,0.33314
0.01,0.5,26,0,1,0,0.24084,0.33314,1,-1,0.24084,0.32314
0.01,0.5,26,1,0,0,0.24084,0.32314,1,-1,0.23084,0.32314
0.01,0.5,26,1,1,1,0.23084,0.32314,1,0,0.23084,0.32314
0.01,0.5,27,0,0,0,0.23084,0.32314,0,0,0.23084,0.32314
0.01,0.5,27,0,1,0,0.23084,0.32314,1,-1,0.23084,0.31314
0.01,0.5,27,1,0,0,0.23084,0.31314,1,-1,0.22084,0.31314
0.01,0.5,27,1,1,1,0.22084,0.31314,1,0,0.22084,0.31314
0.01,0.5,28,0,0,0,0.22084,0.31314,0,0,0.22084,0.31314
0.01,0.5,28,0,1,0,0.22084,0.31314,1,-1,0.22084,0.30314
0.01,0.5,28,1,0,0,0.22084,0.30314,1,-1,0.21084,0.30314
0.01,0.5,28,1,1,1,0.21084,0.30314,1,0,0.21084,0.30314
0.01,0.5,29,0,0,0,0.21084,0.30314,0,0,0.21084,0.30314
0.01,0.5,29,0,1,0,0.21084,0.30314,1,-1,0.21084,0.29314
0.01,0.5,29,1,0,0,0.21084,0.29314,0,0,0.21084,0.29314
0.01,0.5,29,1,1,1,0.21084,0.29314,1,0,0.21084,0.29314
0.01,0.5,30,0,0,0,0.21084,0.29314,0,0,0.21084,0.29314
0.01,0.5,30,0,1,0,0.21084,0.29314,1,-1,0.21084,0.28314
